12 2954 16	12 32 126 5951 456 16
426 160 8 9 172	14973 8 9 337 155 156
12 19 212 213 29 106 172 162	29 431 432 72 12 1046 16
10330 252 415 29 128 23 470 113 114 76	29 19 1686 23 470
130 2089 189 227 1097 332 1053 29	837 461 221 227 652 29
1194 12 776 1042 275 276	174 878 1193 10 360 12 275 11
12 142 20348 20349 19 777 23 39 9	12 32 39 9 1108
24 72 12 394 19 212 213 76	12 19 212 213 8 9 522 19
29 106 272 12 68 70	29 106 99
279 3 161 29 217 23 10 536	29 10 536 66
12 307 114 23 629 43 2334 19 66	12 1003 19 2440 23 39 9
29 524 525 5 6 59 361 10 524 525 29 8 9 313	29 485 19 1687 10 524 525 29 935 6158 6158
29 43 253 10919 173	29 43 253 80 32 1139
28 12 522 725 29	12 431 10 431 432 83 522 725 29
13 10 13 1425 2945	29 2115 2116 12 431 432 1425 2945
29 457 3516 533	12 32 2987 266 16
12 272 107 312 247 3956	12 360 107 312 247
29 108 392 791 276	29 108 719 3 161 5 503
140 370 4092 218 219	599 390 140 370 218 219 599 390 140 370 218 219
1615 1267 594 12 1267	21170 453 23 12 331 1267
12 106 536 44 533	12 2319 161 106 536 44 533
29 10 23 251 649 650 12	29 10 649 650 12
29 72 12 4 6 2 300 276	252 1006 12 3 72 29 4 162 424 561 561
4288 1594 12 366	12 441 442 4288 1594 366
28 29 10 447 12 11	447 23 29 10 243 72 12 353 19 44 11
431 10 431 432 72 12 1046	172 6 1378 969 71 344 66
317 275 5456 4622 16	275 5456 4622 532
12 72 1239 19 59 3154 227 21147 276	73 126 168 66
12 518 163 29 459 272 107 1833 11 16	34 1833 11
1226 888 494 116 455 456 3474	2965 494 116 2246
300 161 243 10 243 66	243 10 243 66
392 459 241	12 392 459 1153
12 2283 462 161 12 485 29	29 161 524 525 12
29 80 32 285 3034	29 457 3034 66
12 485 29 23 10 23	12 296 485 29
426 1274 120 1653	1653 285 1274 120 140 370
12 68 1282 72 29 67	169 68 69 70 522 67
12 317 161 39 9 4565	13581 161 19 23 39 9 92 1080
1180 127 23 29 19 16661	1180 7231 11
477 358 2045 546 358 147 121 971 381 121 222 1469	329 330 3195 2643 358 540 358 6031
251 671 561 12	12 4324 11 29 29 272 671 561 12
155 127 9 161	12 161 19 787 126 66
12 8 9 127 9 19 649 650	29 1756 648 12
12 455 456 76 588	29 19 3034
421 39 9 29 19 991 288 1536	444 29 19 140 370 473 784 288 1536
6315 189 87 19	1130 227 4201
771 102 12 14 81 82 800 227 16	12 13 10 13 81 82 800 227
29 2327 5 130	176 29 2066 5 130
29 421 39 9 317 32 255 200 1168 19 3922	29 255 200 462 468 11
12 524 525 24 66	12 83 32 485 19 59 16
255 390 12	29 10 390 12 66
12 161 29 592 23 649 59 524 525	29 161 12 664 19501
8 9 453 127 344 12 8 9 217 304 107	202 127 344 66
12 23 453 80 192 882 76	12 453 80 645 76
12 347 629 29 470 455 456 16	12 431 432 629 29 454 455 456 16
299 114 161 19 124 12 276	2533 23 6 2117 276
177 643 370 1228 1347	1346 1556
176 29 275 350	683 176 29 275 350
29 4781 3920 533	4781 3920 23 29 19 11270
45 46 47 48 49 229 46 32 5404	45 46 47 48 49 229 46 2420 707
8 344 629 989 1605 904	2641 74 804 202 629
5312 536 2037 2038 12 2039 2040	169 1192 12 2039 2040
25 32 39 9 33 448	44 33 471 457
12 62 29 984	12 1015 6461 62 29 984
12 19 634 643 39 9 344 19 533	1111 39 9 344
