12 23 4160 276	29 23 169 1495
12 5 239 243 29 1001 126 1405 11	29 485 12 251 1405 11
134 1059 3028 9268 32 39 9 6040 322	3028 9268 2797 7318 126 16
169 718 249 23 1560 90 533	246 247 1795
1847 1600 457 1322 243 240 416 19 3052 1006	240 416 1231 422 2323
12 317 1895 9774 16	12 317 10 317 1895 9774 533
868 19 626	520 19 494 495
169 718 12 101 102 131 137 138 23 39 9 16	12 101 102 131 137 138 23 3960 16
24 142 431 447	431 447 19 23 25 6 59
679 29 457 449 451 16	29 1300 11
447 12 1914 10 2909 5046	2306 1914 447 12 19
12 19 399	20314 19 9964 272 187 79
29 2446 11 12	29 17 18 11 12
1016 29 1003	12 19 1003
435 11 29 435 11	126 19 342 518 276
29 62 43 212 213	43 62 39 9 65
127 1272 1920 935 267	29 2978 1920 68 39 9 70 267
158 782 232 1822 230 1325 459 811	29 1325 459 979 519 232 230 919
3092 1324 8 9 6855	56 57 3092 6647 938 853 11838
1268 10 126 522 5 69 413	1268 10 126
12 80 32 161 263 1017 5 503	12 39 9 253 2090 11
243 127 574 29 243 961 1362 29 11 16	29 243 127 168 499 29 11 16
87 221 222 223 4004 62 29	5563 1574 433
297 106 29 11 16	12 106 29 11 80 32 66
12 10 615 6 299 114	12 23 162 299 114
200 1789 52 52 6191 433 1652 52 11 415 8 344 9 5192 267	2320 2570 1104 52 1405 21600 1382 173
12 74 75 893 416 413 72 29 1425 2945 276	12 72 29 1425 2945
29 593 12 66	29 19 561 561
29 536 803 804 12 536 4332 4073 806	29 2089 535 106 536 803 804
522 162 230 300	971 1426 230 300
29 263 12 311 266 583 986	29 1200 438 990 485 12
12 1325 459 567 1675 1361	12 1325 459 3842
29 193 243 126 491 533	29 193 243 491 11 371 127 471 1675 200 23 276
12 1475 62 29 2142 594 122 6845	12 1475 1378 969 29 39 9
1592 2448 12 459 643 118 776 1042	263 776 1042 32 6896
426 20284 413 23 8 9 773 33 267	140 370 1104 300 32 4171 23 8 9 773 33
29 106 536 431 571 3767	21310 999 904
29 161 12 202	12 202 19
12 317 447 29	12 317 310 279 447 29 276
82 1475 394 44 212	394 6 212 213
45 226 478 7725 1188 332 333 1075 662	9877 335 159 46 971 19 1188 1213 333 243 25 574 168
176 15187 11	176 29 938 130 853
213 1299 29 3947 11	4744 11
461 462 80 1352 126 491 66	29 453 80 536 535 126 491 636
29 108 474 475 753	360 29 474 475 444 10 794
12 518 163 24 23 29 142 485 19	12 518 163 29 142 485 24
29 108 110 126 23 592 19 126	29 1388 126 698 23 592 19 126
12 23 2098 790 16	12 2098 29 23 16
12 606 7495 7495	12 127 6 1958 1397
12 192 19 4219	12 19 882 565
29 134 451 217 126	251 836 19 5 191 251 836 19
